,GCM,RCM,RCP,ensemble,institute,Prec,RH,Rs,T,Tmax,Tmin,aP,u2,EToPM,EToPM2,EToHG,EToPT,EToSJ
MPI-CSC.M-MPI-ESM-LR.REMO2009.r1i1p1.rcp26,M-MPI-ESM-LR,REMO2009,rcp26,r1i1p1,MPI-CSC,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
MPI-CSC.M-MPI-ESM-LR.REMO2009.r2i1p1.rcp26,M-MPI-ESM-LR,REMO2009,rcp26,r2i1p1,MPI-CSC,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
MPI-CSC.M-MPI-ESM-LR.REMO2009.r1i1p1.rcp45,M-MPI-ESM-LR,REMO2009,rcp45,r1i1p1,MPI-CSC,111,11,111,111,111,111,111,111,11.0,11.0,111.0,11.0,11.0
MPI-CSC.M-MPI-ESM-LR.REMO2009.r2i1p1.rcp45,M-MPI-ESM-LR,REMO2009,rcp45,r2i1p1,MPI-CSC,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
MPI-CSC.M-MPI-ESM-LR.REMO2009.r1i1p1.rcp85,M-MPI-ESM-LR,REMO2009,rcp85,r1i1p1,MPI-CSC,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
MPI-CSC.M-MPI-ESM-LR.REMO2009.r2i1p1.rcp85,M-MPI-ESM-LR,REMO2009,rcp85,r2i1p1,MPI-CSC,111,111,111,111,111,111,111,111,11.0,11.0,111.0,11.0,11.0
UHOH.M-MPI-ESM-LR.WRF361H.r1i1p1.rcp85,M-MPI-ESM-LR,WRF361H,rcp85,r1i1p1,UHOH,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
CanESM2.v1-r1.WETTREG2013.rcp85,CanESM2,WETTREG2013,rcp85,v1-r1,,111,111,CanESM2.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v1-r10.WETTREG2013.rcp85,CanESM2,WETTREG2013,rcp85,v1-r10,,111,111,DWD.CanESM2.EPISODES2018.r2i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v1-r2.WETTREG2013.rcp85,CanESM2,WETTREG2013,rcp85,v1-r2,,111,111,DWD.CanESM2.EPISODES2018.r5i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v1-r3.WETTREG2013.rcp85,CanESM2,WETTREG2013,rcp85,v1-r3,,111,111,DWD.CanESM2.EPISODES2018.r4i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v1-r4.WETTREG2013.rcp85,CanESM2,WETTREG2013,rcp85,v1-r4,,111,111,DWD.CanESM2.EPISODES2018.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v1-r5.WETTREG2013.rcp85,CanESM2,WETTREG2013,rcp85,v1-r5,,111,111,CanESM2.v1.CCLM4-8-17.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v1-r6.WETTREG2013.rcp85,CanESM2,WETTREG2013,rcp85,v1-r6,,111,111,CanESM2.v1.CCLM4-8-17.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v1-r7.WETTREG2013.rcp85,CanESM2,WETTREG2013,rcp85,v1-r7,,111,111,CanESM2.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v1-r8.WETTREG2013.rcp85,CanESM2,WETTREG2013,rcp85,v1-r8,,111,111,CanESM2.v1.CCLM4-8-17.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
